0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
166527,3992,287,18/07/2016,C,FALSE,R16,3,4894,NED,,,95,615,,,29.284052,190,4546,ARG,,,73,726,,,31.225187,188,7-6(5) 6-4,,2,0,12,10,1,0,TRUE,166527,0,96,13,2,78,56,45,9,11,6,7,6,4,70,40,29,16,11,3,5
165557,3971,292,4/04/2016,C,FALSE,R16,3,6196,CZE,8,,55,840,,,22.735113,198,5247,CRO,,Q,312,154,,,27.277208,,6-7(4) 6-3 7-6(5),,2,1,18,15,1,1,TRUE,165557,0,181,15,4,112,68,55,22,17,3,4,10,4,124,52,41,38,16,5,7
170100,4077,280,2/10/2017,H,FALSE,R32,3,5216,ARG,,WC,24,1820,,,29.023956,198,4654,URU,,,32,1325,,,31.750856,180,7-6(4) 6-4,,2,0,12,10,1,0,TRUE,170100,0,98,11,1,75,48,39,16,11,3,3,9,1,68,42,35,13,11,1,2
173814,4172,281,18/02/2019,C,FALSE,R32,3,5370,SLO,,,83,675,,,29.587954,181,6051,ITA,3,,17,2091,,,26.384668,185,7-5 7-6(1),,2,0,13,11,1,0,TRUE,173814,0,111,5,4,85,39,28,28,12,3,5,4,5,67,45,31,10,12,1,4
171970,4123,284,11/06/2018,G,FALSE,R32,3,4868,FRA,,,72,780,,,31.326488,188,4198,ESP,,,68,834,,,35.019848,188,6-4 6-7(7) 7-6(4),,2,1,18,16,1,1,TRUE,171970,0,164,10,3,102,65,51,23,17,1,3,6,8,108,69,53,19,17,1,4
173400,4161,290,7/01/2019,H,FALSE,R16,3,5515,GER,,,58,855,,,28.703629,193,4903,NZL,,WC,360,56,,,31.704311,183,6-2 6-1,,2,0,12,3,0,0,TRUE,173400,0,63,12,0,48,29,24,12,8,3,3,4,2,46,30,19,3,7,3,7
171026,4104,278,19/02/2018,C,FALSE,R32,3,4654,URU,7,,33,1380,,,32.134155,180,6315,BRA,,WC,104,540,,,23.723476,183,6-7(5) 7-6(10) 6-3,,2,1,18,15,1,1,TRUE,171026,0,161,11,7,108,60,48,22,17,3,7,9,2,100,64,44,15,16,1,6
176931,4247,272,7/09/2020,C,FALSE,R32,3,50810,ITA,,WC,74,733,,,19.041752,188,4259,GER,,WC,75,729,,,36.876114,178,6-3 6-2,,2,0,12,5,0,0,TRUE,176931,0,67,5,0,44,26,22,11,9,1,2,1,0,50,30,16,9,8,3,7
164331,3939,10,11/10/2015,H,FALSE,R64,3,4467,FRA,10,,14,2020,,,30.78987,183,5918,GEO,,Q,93,581,,,23.633127,185,6-3 4-6 6-0,,2,1,16,9,0,0,TRUE,164331,0,,1,4,80,46,31,19,13,2,5,2,3,67,39,22,13,12,2,8
177472,4261,6104,6/03/2020,C,FALSE,RR,3,22389,ISR,,,355,107,,,22.954142,,17199,TUR,,,195,257,,,24.531143,,6-2 7-6(4),,2,0,12,8,1,0,TRUE,177472,0,95,2,5,66,43,28,14,10,2,4,3,0,69,48,28,11,10,2,6
