date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 08/05/2019,"Jeremy Chardy 
						CHA
				","Diego Sebastian Schwartzman 
						SCH
				","
				3.09
			","
				1.37
			","
				1.89
			","
				3.80
			","
				6.09
			","
				5.25
			","
						2.67
					","
						1.50
					"
 08/05/2019,"Stanislas Wawrinka 
						WAW
				","Guido Pella 
						PEL
				","
				1.64
			","
				2.24
			","
				3.71
			","
				4.74
			","
				3.90
			","
				2.55
			","
						2.49
					","
						1.62
					"
 08/05/2019,"Laslo Djere 
						DJE
				","Juan Martin Del Potro 
						DEL
				","
				2.06
			","
				1.76
			","
				2.74
			","
				4.17
			","
				4.68
			","
				3.28
			","
						2.55
					","
						1.61
					"
 08/05/2019,"Marton Fucsovics 
						FUC
				","Gael Monfils 
						MON
				","
				2.53
			","
				1.51
			","
				2.25
			","
				3.88
			","
				5.37
			","
				4.18
			","
						2.62
					","
						1.56
					"
 08/05/2019,"Felix Auger Aliassime 
						AUG
				","Rafael Nadal 
						NAD
				","
				5.27
			","
				1.16
			","
				1.46
			","
				4.26
			","
				10.48
			","
				9.31
			","
						3.58
					","
						1.33
					"
 08/05/2019,"Fabio Fognini 
						FOG
				","John Millman 
						MIL
				","
				1.34
			","
				3.22
			","
				5.53
			","
				6.59
			","
				3.92
			","
				1.86
			","
						2.79
					","
						1.48
					"
 08/05/2019,"Stefanos Tsitsipas 
						TSI
				","Adrian Mannarino 
						MAN
				","
				1.13
			","
				6.07
			","
				10.46
			","
				10.82
			","
				4.16
			","
				1.44
			","
						3.40
					","
						1.34
					"
 08/05/2019,"Lucas Pouille 
						POU
				","Hubert Hurkacz 
						HUR
				","
				2.16
			","
				1.69
			","
				2.67
			","
				3.93
			","
				4.56
			","
				3.62
			","
						2.23
					","
						1.67
					"
 08/05/2019,"Fernando Verdasco 
						VER
				","Karen Khachanov 
						KHA
				","
				2.19
			","
				1.68
			","
				2.60
			","
				3.91
			","
				4.74
			","
				3.67
			","
						2.30
					","
						1.62
					"
 08/05/2019,"David Ferrer 
						FER
				","Alexander Zverev 
						ZVE
				","
				3.35
			","
				1.33
			","
				1.88
			","
				3.80
			","
				6.47
			","
				5.80
			","
						2.60
					","
						1.50
					"
 09/05/2019,"Marin Cilic 
						CIL
				","Laslo Djere 
						DJE
				","
				1.64
			","
				2.26
			","
				3.78
			","
				4.82
			","
				3.91
			","
				2.52
			","
						2.54
					","
						1.60
					"
 09/05/2019,"Novak Djokovic 
						DJO
				","Jeremy Chardy 
						CHA
				","
				1.09
			","
				7.64
			","
				14.14
			","
				14.02
			","
				4.53
			","
				1.32
			","
						4.15
					","
						1.28
					"
 09/05/2019,"Fabio Fognini 
						FOG
				","Dominic Thiem 
						THI
				","
				3.13
			","
				1.36
			","
				1.93
			","
				3.77
			","
				6.24
			","
				5.56
			","
						2.66
					","
						1.52
					"
 09/05/2019,"Kei Nishikori 
						NIS
				","Stanislas Wawrinka 
						WAW
				","
				2.13
			","
				1.71
			","
				2.66
			","
				3.95
			","
				4.63
			","
				3.70
			","
						2.46
					","
						1.62
					"
 09/05/2019,"Roger Federer 
						FED
				","Gael Monfils 
						MON
				","
				1.29
			","
				3.62
			","
				6.45
			","
				6.76
			","
				3.78
			","
				1.85
			","
						2.84
					","
						1.52
					"
 09/05/2019,"Stefanos Tsitsipas 
						TSI
				","Fernando Verdasco 
						VER
				","
				1.35
			","
				3.19
			","
				5.56
			","
				6.26
			","
				3.67
			","
				1.97
			","
						2.55
					","
						1.54
					"
 09/05/2019,"Hubert Hurkacz 
						HUR
				","Alexander Zverev 
						ZVE
				","
				2.84
			","
				1.42
			","
				2.15
			","
				3.72
			","
				5.66
			","
				5.00
			","
						2.45
					","
						1.57
					"
 09/05/2019,"Frances Tiafoe 
						TIA
				","Rafael Nadal 
						NAD
				","
				10.03
			","
				1.05
			","
				1.25
			","
				4.96
			","
				17.03
			","
				18.97
			","
						5.10
					","
						1.23
					"
 10/05/2019,"Novak Djokovic 
						DJO
				","Marin Cilic 
						CIL
				","
				1.14
			","
				5.80
			","
				10.27
			","
				10.39
			","
				4.06
			","
				1.50
			","
						3.64
					","
						1.36
					"
 10/05/2019,"Roger Federer 
						FED
				","Dominic Thiem 
						THI
				","
				2.81
			","
				1.43
			","
				2.06
			","
				3.82
			","
				5.53
			","
				4.77
			","
						2.63
					","
						1.60
					"
 10/05/2019,"Stefanos Tsitsipas 
						TSI
				","Alexander Zverev 
						ZVE
				","
				1.68
			","
				2.20
			","
				3.69
			","
				4.60
			","
				3.90
			","
				2.63
			","
						2.28
					","
						1.64
					"
 10/05/2019,"Stanislas Wawrinka 
						WAW
				","Rafael Nadal 
						NAD
				","
				4.32
			","
				1.22
			","
				1.66
			","
				3.89
			","
				7.94
			","
				7.49
			","
						3.22
					","
						1.47
					"
 11/05/2019,"Novak Djokovic 
						DJO
				","Dominic Thiem 
						THI
				","
				1.77
			","
				2.06
			","
				3.37
			","
				4.42
			","
				4.04
			","
				2.83
			","
						2.30
					","
						1.67
					"
 11/05/2019,"Stefanos Tsitsipas 
						TSI
				","Rafael Nadal 
						NAD
				","
				6.44
			","
				1.12
			","
				1.38
			","
				4.35
			","
				11.75
			","
				11.04
			","
						4.00
					","
						1.33
					"
