date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 07/03/2018,"Yuki Bhambri 
						BHA
				","Ramkumar Ramanathan 
						RAM
				","
				1.38
			","
				2.98
			","
				5.03
			","
				6.21
			","
				3.85
			","
				2.00
			","
						2.55
					","
						1.53
					"
 07/03/2018,"Marcos Baghdatis 
						BAG
				","Vincent Millot 
						MIL
				","
				1.19
			","
				4.54
			","
				8.17
			","
				9.34
			","
				4.00
			","
				1.58
			","
						3.05
					","
						1.39
					"
 07/03/2018,"Mitchell Krueger 
						KRU
				","Alexander Bublik 
						BUB
				","
				2.40
			","
				1.56
			","
				2.36
			","
				3.94
			","
				5.01
			","
				3.89
			","
						2.38
					","
						1.58
					"
 07/03/2018,"Cameron Norrie 
						NOR
				","Sergiy Stakhovsky 
						STA
				","
				1.45
			","
				2.74
			","
				4.56
			","
				5.71
			","
				3.88
			","
				2.16
			","
						2.48
					","
						1.56
					"
 07/03/2018,"Matteo Berrettini 
						BER
				","Peter Polansky 
						POL
				","
				1.57
			","
				2.39
			","
				4.06
			","
				5.21
			","
				3.87
			","
				2.40
			","
						2.35
					","
						1.59
					"
 07/03/2018,"Ricardas Berankis 
						BER
				","Casper Ruud 
						RUU
				","
				1.81
			","
				1.99
			","
				3.16
			","
				4.51
			","
				4.22
			","
				2.86
			","
						2.35
					","
						1.61
					"
 07/03/2018,"Vasek Pospisil 
						POS
				","Adrian Menendez-Maceiras 
						MEN
				","
				1.40
			","
				2.95
			","
				5.10
			","
				6.08
			","
				3.85
			","
				1.97
			","
						2.44
					","
						1.53
					"
 08/03/2018,"Felix Auger Aliassime 
						AUG
				","Norbert Gombos 
						GOM
				","
				2.02
			","
				1.78
			","
				2.78
			","
				4.23
			","
				4.64
			","
				3.26
			","
						2.35
					","
						1.61
					"
 08/03/2018,"Horacio Zeballos 
						ZEB
				","Yuichi Sugita 
						SUG
				","
				2.83
			","
				1.42
			","
				2.06
			","
				3.72
			","
				5.85
			","
				4.63
			","
						2.50
					","
						1.57
					"
 08/03/2018,"Julien Benneteau 
						BEN
				","Jeremy Chardy 
						CHA
				","
				1.58
			","
				2.39
			","
				3.93
			","
				4.90
			","
				3.80
			","
				2.37
			","
						2.37
					","
						1.61
					"
 08/03/2018,"Taylor Fritz 
						FRI
				","Reilly Opelka 
						OPE
				","
				1.36
			","
				3.14
			","
				5.27
			","
				6.03
			","
				3.67
			","
				1.96
			","
						2.62
					","
						1.60
					"
 08/03/2018,"Ivo Karlovic 
						KAR
				","Maximilian Marterer 
						MAR
				","
				1.90
			","
				1.91
			","
				3.03
			","
				4.16
			","
				4.20
			","
				3.02
			","
						2.37
					","
						1.71
					"
 08/03/2018,"Borna Coric 
						COR
				","Donald Young 
						YOU
				","
				1.35
			","
				3.20
			","
				5.27
			","
				6.17
			","
				3.77
			","
				1.94
			","
						2.62
					","
						1.54
					"
 08/03/2018,"Radu Albot 
						ALB
				","Stefanos Tsitsipas 
						TSI
				","
				2.97
			","
				1.40
			","
				2.00
			","
				3.69
			","
				5.90
			","
				4.85
			","
						2.62
					","
						1.57
					"
 08/03/2018,"Lukas Lacko 
						LAC
				","Dusan Lajovic 
						LAJ
				","
				2.15
			","
				1.71
			","
				2.71
			","
				3.93
			","
				4.55
			","
				3.44
			","
						2.37
					","
						1.63
					"
