,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
20,171703,4118,281,2018-05-07,C,False,R32,3,5216,ARG,4.0,,6,4470,,,29.61807,198.0,5986,BIH,,,32.0,1415.0,,,25.96304,172.0,6-3 6-3,,2,0,12,6,0,0,True,171703,0,80.0,3,0,56,40,27,10,9,2,3,2,1,54,39,24,5,9,3,7
21,169386,4060,279,2017-07-17,C,False,R32,3,5231,UKR,,,89,596,,,28.689938,180.0,4914,ARG,,Q,134.0,411.0,,,30.173853,188.0,6-3 6-2,,2,0,12,5,0,0,True,169386,0,61.0,5,0,60,42,31,12,9,2,2,3,0,46,37,22,3,8,4,7
22,169672,4069,272,2017-08-07,H,False,R32,3,5131,ESP,12.0,,16,2335,,,29.314169,183.0,5978,USA,,,44.0,1018.0,,,25.251198,183.0,7-5 6-2,,2,0,13,7,0,0,True,169672,0,64.0,2,2,52,32,24,14,10,0,1,2,3,55,36,22,8,10,0,4
23,165445,3969,231,2016-03-21,H,False,R128,3,5025,AUS,,,77,691,,,28.421629,,3607,DOM,,,66.0,745.0,,,35.63313,173.0,6-3 6-2,,2,0,12,5,0,0,True,165445,0,64.0,10,4,53,29,28,9,9,0,0,2,3,51,34,20,8,8,0,3
24,167418,4013,286,2016-10-24,H,False,R16,3,5630,ARG,,,48,960,,,26.053389,190.0,5564,LTU,,Q,91.0,655.0,,,26.343601,175.0,6-7(4) 7-6(3) 6-3,,2,1,18,15,1,1,True,167418,0,151.0,12,3,103,59,39,31,17,2,5,4,6,121,68,51,20,16,7,11
25,169752,4070,297,2017-08-14,H,False,QF,3,6387,AUS,,,23,1770,,,22.299795,193.0,4742,ESP,1.0,,2.0,7555.0,,,31.19781,185.0,6-2 7-5,,2,0,13,7,0,0,True,169752,0,80.0,10,5,56,35,30,11,10,2,3,4,2,56,36,25,6,10,3,7
26,171352,4093,13704,2018-04-06,G,False,RR,3,4794,UZB,,,83,673,,,31.56742,188.0,3499,PAK,,,1770.0,1.0,,,38.171116,,6-1 6-3,,2,0,12,4,0,0,True,171352,0,58.0,6,1,40,22,19,11,8,0,1,0,4,54,21,13,11,8,6,11
27,169524,4065,280,2017-07-24,C,False,R32,3,5370,SLO,,,46,933,,,28.016428,181.0,5486,DOM,,LL,250.0,205.0,,,27.364819,,6-1 6-2,,2,0,12,3,0,0,True,169524,0,68.0,5,1,51,34,25,11,8,4,4,2,3,55,33,19,7,7,6,10
28,175117,4203,280,2019-07-29,C,False,R32,3,6061,SVK,,PR,326,82,,,26.729637,,4198,ESP,,Q,158.0,335.0,,,36.15058,188.0,6-7(1) 6-2 6-3,,2,1,18,11,0,1,True,175117,0,137.0,7,6,103,60,47,20,15,13,14,3,3,89,54,38,18,14,2,6
29,173645,4166,278,2019-02-04,H,True,R32,3,5902,HUN,,,47,959,,,26.989733,188.0,4311,ITA,8.0,,37.0,1080.0,,,34.95414,190.0,6-2 7-6(2),,2,0,12,8,1,0,True,173645,0,93.0,4,1,60,36,29,13,10,2,4,2,3,79,41,29,15,10,4,8
