,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
20,169162,4055,296,2017-06-19,G,False,QF,3,11547,RUS,,,38,1005,,,21.078712,198.0,25897,RUS,,WC,106.0,503.0,,,19.663244,188.0,7-6(8) 4-6 6-3,,2,1,16,15,1,0,True,169162,0,136.0,19,2,119,77,55,16,16,6,11,3,4,103,55,41,20,15,3,8
21,173379,4160,283,2018-12-31,H,False,R32,3,4619,ITA,,Q,141,384,,,33.229294,183.0,4794,UZB,,,92.0,622.0,,,32.314854,188.0,6-4 6-4,,2,0,12,8,0,0,True,173379,0,82.0,3,1,61,43,31,11,10,3,4,7,2,54,35,23,12,10,0,3
22,168674,4043,292,2017-04-24,C,False,R16,3,5070,ESP,10.0,,19,2135,,,29.267626,188.0,5131,ESP,6.0,,18.0,2145.0,,,29.026693,183.0,6-2 3-6 6-4,,2,1,15,12,0,0,True,168674,0,129.0,1,1,68,52,32,5,13,2,8,1,2,91,59,33,10,14,4,12
23,174444,4186,252,2019-05-13,C,False,R64,3,50810,ITA,,WC,263,170,,,17.738535,188.0,5438,USA,,,59.0,885.0,,,29.382614,188.0,1-6 6-1 7-5,,2,1,14,12,0,0,True,174444,0,111.0,3,3,78,47,33,14,13,1,4,5,3,79,46,31,18,13,3,7
24,173733,4169,273,2019-02-11,H,True,R32,3,6407,RUS,5.0,,16,2160,,,23.000685,198.0,4868,FRA,,,35.0,1180.0,,,31.997263,188.0,7-6(2) 6-2,,2,0,12,8,1,0,True,173733,0,93.0,8,2,72,55,38,10,10,4,6,4,2,69,38,27,12,10,6,10
25,164184,3934,6,2015-09-21,H,False,R32,3,4794,UZB,,,62,751,,,29.037645,188.0,5055,KAZ,8.0,,48.0,922.0,,,27.737165,183.0,7-6(4) 2-6 6-2,,2,1,14,14,1,0,True,164184,0,,8,2,100,60,46,18,14,7,10,2,2,95,51,37,21,14,1,4
26,169226,4058,272,2017-06-26,G,False,R32,3,6057,AUS,,,60,820,,,24.678988,193.0,5601,SVK,,Q,90.0,592.0,,,26.869268,193.0,7-6(3) 6-3,,2,0,12,9,1,0,True,169226,0,70.0,6,2,73,54,38,12,11,2,3,8,3,67,48,32,10,10,1,3
27,174965,4198,296,2019-07-15,G,False,QF,3,44829,FRA,4.0,,48,977,,,21.051334,188.0,25608,BLR,,,141.0,389.0,,,25.385353,193.0,7-5 3-6 6-2,,2,1,16,13,0,0,True,174965,0,145.0,9,8,103,60,46,16,14,10,13,3,4,98,64,38,19,15,7,12
28,173882,4174,275,2019-02-25,H,False,R32,3,5131,ESP,,,18,1955,,,30.86653,183.0,6354,IND,,WC,137.0,425.0,,,24.298426,,6-4 6-3,,2,0,12,7,0,0,True,173882,0,82.0,0,1,53,41,31,8,9,2,2,6,1,68,44,32,7,10,3,6
29,176230,4231,296,2020-01-13,H,False,QF,3,5324,FRA,5.0,,24,1598,,,30.683094,196.0,5349,AUS,,,47.0,1071.0,,,30.581793,183.0,3-6 6-1 6-4,,2,1,15,11,0,0,True,176230,0,102.0,13,4,79,54,43,13,13,5,6,4,1,83,49,35,15,13,2,5
