"(0.5, 0.5)","{'Match Outcome': [0.5000000000000016, 0.4999999999999984], 'Match Score': [0.2499999999999983, 0.25000000000000244, 0.249999999999997, 0.25000000000000233], 'Number of Games': [0.0004882812499999982, 0.0029296874999999853, 0.009521484374999957, 0.022216796874999938, 0.04165649414062474, 0.058959960937499625, 0.06816101074218704, 0.06935119628906199, 0.06265640258789021, 0.049278259277343486, 0.0629053115844723, 0.04247760772705071, 0.029324769973754907, 0.04836559295654317, 0.05185782909393336, 0.051962137222290414, 0.05614614486694355, 0.057013571262359855, 0.05366215109825178, 0.04715645313262967, 0.03974390029907257, 0.02572707831859612, 0.01925095170736329, 0.016145959496498268, 0.006520483642816603, 0.0027944929897785425, 0.0027944929897785464, 0.0009314976632595169], 'Set Score': [0.015625000000000135, 0.04687500000000023, 0.08203125000000025, 0.10937499999999922, 0.12304687500000032, 0.06152343750000012, 0.061523437500000125, 0.01562500000000018, 0.046875000000000396, 0.08203125000000006, 0.10937499999999929, 0.12304687499999936, 0.06152343750000005, 0.061523437500000056]}"

"(0.5, 0.52)","{'Match Outcome': [0.39439643111891604, 0.6056035688810839], 'Match Score': [0.18398871715926884, 0.210407713959647, 0.3261105972382091, 0.279492971642875], 'Number of Games': [0.0005360511858196027, 0.0031677881132953804, 0.010161458623246402, 0.023428293591469678, 0.04346200112424265, 0.06085163087667941, 0.06975188266308895, 0.0705696924734259, 0.06359020951976893, 0.04995671972169017, 0.06332710861590989, 0.04271529051067942, 0.029623057438895987, 0.04841626463353617, 0.051566729735707, 0.051326959557336634, 0.055150014562051305, 0.05572605275286023, 0.05216974254689099, 0.04558117295825341, 0.03820292039163416, 0.024670542894767864, 0.01840420541538068, 0.015331335484301954, 0.006163525078075647, 0.0026447002654868077, 0.0026317168651341736, 0.0008729324003703963], 'Set Score': [0.011498741494834675, 0.03632053459480966, 0.06643066623288038, 0.09340351948262593, 0.10972628529479725, 0.05486051236227419, 0.05678885863273526, 0.020915640183569062, 0.05946725880410945, 0.09929993291364664, 0.125280045842496, 0.13459944627503745, 0.06696791888620347, 0.0644406389999807]}"

"(0.5, 0.54)","{'Match Outcome': [0.29658833803985696, 0.7034116619601432], 'Match Score': [0.13017216965051695, 0.1664161683893398, 0.4085845597768631, 0.29482710218328023], 'Number of Games': [0.0006938121156201055, 0.003934109418779159, 0.012172397008854866, 0.027143064916296603, 0.04886181597087498, 0.06635375312008555, 0.07424189620884192, 0.07390752119679336, 0.06609017958839325, 0.05174738285655733, 0.06429609707986911, 0.04323726192307409, 0.03037468105825344, 0.04836727734417474, 0.05055063930570686, 0.04938114297673932, 0.05220847211593086, 0.05199668586078452, 0.04792194082985989, 0.04117265958985297, 0.0339546295983096, 0.02177246203842625, 0.016095318461962438, 0.013143872779450163, 0.00521422700368915, 0.0022451720992831287, 0.0022017832432529674, 0.000719744290283388], 'Set Score': [0.008354547216462544, 0.027720406174619804, 0.052819789185378, 0.07813645062154653, 0.09553784486367586, 0.047535161826205784, 0.050690422981584216, 0.027532579242870333, 0.07404904253982333, 0.11772480091505923, 0.140259301262852, 0.14360027317190094, 0.07073857488011086, 0.06530080511791066]}"

"(0.5, 0.56)","{'Match Outcome': [0.2135638695697201, 0.7864361304302799], 'Match Score': [0.0888384035229302, 0.12472546604678945, 0.49272296574545493, 0.2937131646848254], 'Number of Games': [0.001004233925242062, 0.00537460196644184, 0.015791629859407654, 0.033533586212705864, 0.057724614257065834, 0.07491567295811201, 0.0808244111505998, 0.0785037657880572, 0.06935403989312962, 0.05399650516758282, 0.06506218218241565, 0.04354122131628546, 0.031156627124252267, 0.04768922651299651, 0.048458343221526486, 0.04605473794944488, 0.04750410251572866, 0.04625501532803488, 0.041599665665140284, 0.03482591582314378, 0.028013234275594583, 0.017759462282906518, 0.012938673742577182, 0.010241370337613928, 0.003978133527917207, 0.0017222263935479083, 0.0016499184963020745, 0.0005268821262270344], 'Set Score': [0.006022982084554482, 0.020927640696909815, 0.04140544621250352, 0.06423759410619065, 0.0814806314895684, 0.04015575646650088, 0.043829868591175845, 0.03553405460838654, 0.09032550575923151, 0.13648815312221518, 0.15343811582946418, 0.14943564913306295, 0.07255915700572915, 0.0641594448945069]}"

"(0.5, 0.58)","{'Match Outcome': [0.1479015052397831, 0.8520984947602169], 'Match Score': [0.0588028404525167, 0.08909866478726682, 0.5738168963033465, 0.27828159845687006], 'Number of Games': [0.0015342310078828314, 0.00769557999489481, 0.021301607046008853, 0.042693084372210005, 0.06963049467860082, 0.08557831108597527, 0.08831509265664969, 0.08321124731369366, 0.07236139999755554, 0.05589060732184027, 0.06482298687442203, 0.04310639411540536, 0.03147750517348749, 0.045884798312574256, 0.04505576952259488, 0.04144579624458366, 0.04145409104195345, 0.039212140092019766, 0.034177019259009435, 0.027690258779391373, 0.021585270290930846, 0.013478906320033486, 0.009631633956884222, 0.007323595489204357, 0.002768006699431966, 0.001206533191519236, 0.001120668010880843, 0.00034697115036170796], 'Set Score': [0.004325091379864049, 0.01568630092451712, 0.03211382004603262, 0.05207696822557944, 0.06828982211029681, 0.03319638289070218, 0.0368084307881439, 0.04492495337559505, 0.10790100084582706, 0.1548138646258465, 0.164178376618322, 0.15194223604135268, 0.07243052219152887, 0.0613122299363917]}"

