0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
173169,4153,277,22/10/2018,H,TRUE,R32,3,5953,SUI,,WC,175,315,,,26.55989,,6051,ITA,6,,21,1838,,,26.058865,185,6-4 6-2,,2,0,12,6,0,0,TRUE,173169,0,76,6,5,57,30,28,12,9,3,3,2,4,74,46,27,13,9,7,10
175670,4216,284,7/10/2019,H,FALSE,R32,3,4544,USA,16,,17,1895,,,34.44764,206,6284,FRA,,,22,1600,,,25.61807,185,7-5 6-3,,2,0,13,8,0,0,TRUE,175670,0,62,19,0,54,41,35,9,11,0,0,8,4,61,31,24,16,10,3,5
169197,4056,300,19/06/2017,G,FALSE,F,3,3852,ESP,,,32,1220,,,35.74538,188,5220,CRO,4,,7,4025,,,28.722792,198,4-6 7-6(2) 7-6(8),,2,1,16,18,2,0,TRUE,169197,0,151,19,0,105,66,51,27,17,2,3,22,1,97,63,55,23,17,1,1
175239,4206,258,5/08/2019,H,FALSE,R64,3,4789,FRA,16,,20,1770,,,32.925392,193,5159,CAN,,WC,172,305,,,31.137577,180,6-7(4) 6-3 6-3,,2,1,18,12,0,1,TRUE,175239,0,131,4,5,94,55,41,21,15,4,6,3,2,99,53,38,21,15,5,10
171357,4093,14205,6/04/2018,H,FALSE,RR,3,44481,SWE,,,355,125,,,19.561943,183,5658,POR,,,106,551,,,27.353867,178,6-3 6-4,,2,0,12,7,0,0,TRUE,171357,0,96,5,4,74,53,36,8,10,5,7,1,7,61,29,22,11,9,4,8
162249,3895,25,23/02/2015,H,FALSE,QF,3,4920,SRB,1,,1,13045,,,27.75907,188,4942,TUR,,Q,104,538,,,27.704311,190,6-1 6-1,,2,0,12,2,0,0,TRUE,162249,0,49,7,1,42,27,23,8,7,3,3,3,1,41,24,15,2,7,2,7
166528,3992,288,18/07/2016,C,FALSE,R16,3,5070,ESP,3,,31,1360,,,28.501026,188,6123,FRA,,Q,182,296,,,23.370295,,6-4 6-2,,2,0,12,6,0,0,TRUE,166528,0,70,3,0,50,29,23,13,9,2,3,2,5,55,31,15,14,9,6,10
168631,4042,296,17/04/2017,C,FALSE,QF,3,6284,FRA,11,,17,2306,,,23.14579,185,4654,URU,16,,27,1425,,,31.290897,180,6-0 3-6 7-5,,2,1,16,11,0,0,TRUE,168631,0,117,2,4,91,45,31,22,13,8,12,7,5,83,47,32,10,14,3,10
169998,4073,290,18/09/2017,H,TRUE,R16,3,5367,GER,,Q,95,544,,,28.17796,185,4467,FRA,8,,43,1075,,,32.72553,183,6-4 7-6(4),,2,0,12,10,1,0,TRUE,169998,0,94,8,3,67,37,31,15,11,1,3,4,4,77,35,26,19,11,8,11
168651,4043,268,24/04/2017,C,FALSE,R64,3,6057,AUS,,,41,960,,,24.506502,193,4459,GER,,,75,685,,,32.375084,196,7-5 4-6 6-2,,2,1,17,13,0,0,TRUE,168651,0,99,6,0,86,54,39,23,15,2,3,9,2,96,53,37,21,15,2,5
171486,4112,274,16/04/2018,C,FALSE,R32,3,644,GER,3,,4,4925,,,20.988363,198,4180,LUX,,,28,1465,,,34.937714,193,4-6 6-3 6-2,,2,1,16,11,0,0,TRUE,171486,0,122,4,5,75,41,34,15,13,2,4,6,5,96,58,42,12,14,9,14
163826,3929,28,10/08/2015,H,FALSE,R32,3,5375,USA,,Q,79,635,,,26.047913,183,4606,CZE,5,,6,5140,,,29.894592,196,7-6(5) 6-3,,2,0,12,9,1,0,TRUE,163826,0,,4,1,68,38,30,16,11,1,2,4,1,78,44,28,18,10,6,8
165132,3962,292,22/02/2016,H,FALSE,R16,3,4894,NED,,,62,762,,,28.881588,190,5370,SLO,,,54,842,,,26.59822,181,6-4 6-7(3) 6-4,,2,1,18,14,0,1,TRUE,165132,0,142,3,3,89,56,41,22,16,0,2,10,2,90,48,37,23,16,4,8
175887,4222,260,28/10/2019,H,TRUE,R64,3,4868,FRA,,Q,65,885,,,32.706364,188,5016,USA,,Q,47,1065,,,32.057495,198,5-7 6-3 7-5,,2,1,18,15,0,0,TRUE,175887,0,127,15,2,109,68,55,17,16,2,3,22,6,108,74,57,13,17,4,7
172278,4130,296,16/07/2018,C,FALSE,QF,3,4752,FRA,4,,29,1465,,,32.07666,185,34553,NOR,,WC,147,382,,,19.564682,183,7-6(4) 6-2,,2,0,12,8,1,0,TRUE,172278,0,95,6,2,63,35,27,18,10,4,5,4,2,66,38,27,13,10,4,7
