1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
171159,4108,216,5/03/2018,H,FALSE,R128,3,6418,CRO,,,49,1026,,,21.303217,188,5375,USA,,,99,586,,,28.616016,183,6-0 6-2,,2,0,12,2,0,0,TRUE,171159,0,58,6,2,44,23,18,13,7,0,0,1,2,42,25,11,6,7,0,5,1.35,3.2,5.27,6.17,3.77,1.94,2.62,1.54
171162,4108,223,5/03/2018,H,FALSE,R128,3,26577,GRE,,,71,756,,,19.561943,193,5420,MDA,,,88,643,,,28.312115,175,7-6(2) 6-2,,2,0,12,8,1,0,TRUE,171162,0,92,4,2,67,39,28,15,10,7,9,0,6,59,38,24,6,10,1,5,2.97,1.4,2,3.69,5.9,4.85,2.62,1.57
171164,4108,227,5/03/2018,H,FALSE,R128,3,5571,SRB,,,91,621,,,27.679672,180,5034,SVK,,,103,561,,,30.335386,185,6-4 6-4,,2,0,12,8,0,0,TRUE,171164,0,80,1,1,64,40,28,16,10,4,5,7,2,62,34,25,12,10,1,4,2.15,1.71,2.71,3.93,4.55,3.44,2.37,1.63
171156,4108,211,5/03/2018,H,FALSE,R128,3,6407,RUS,,,57,924,,,22.061602,198,5438,USA,,,52,975,,,28.194387,188,7-6(0) 6-4,,2,0,12,10,1,0,TRUE,171156,0,85,10,4,61,38,33,12,11,1,2,2,1,66,33,24,20,11,3,5,1.77,2.05,3.28,4.37,3.95,2.79,2.37,1.65
171161,4108,220,5/03/2018,H,FALSE,R128,3,4269,ESP,,,39,1260,,,34.302532,188,5539,ARG,,,60,880,,,27.800137,185,6-2 1-6 6-2,,2,1,13,10,0,0,TRUE,171161,0,89,3,1,61,46,32,8,11,1,3,9,1,69,50,31,11,12,1,5,1.6,2.34,3.8,4.83,3.79,2.48,2.37,1.61
171167,4108,232,5/03/2018,H,FALSE,R128,3,5159,CAN,,Q,134,412,,,29.71937,180,5644,ROU,,,81,677,,,27.381247,193,7-6(3) 6-7(5) 7-6(12),,2,1,18,18,2,1,TRUE,171167,0,192,1,6,124,70,57,33,18,4,6,25,3,129,66,50,37,18,5,7,1.65,2.25,3.64,4.7,3.81,2.57,2.37,1.63
171163,4108,224,5/03/2018,H,FALSE,R128,3,33214,CAN,,,44,1166,,,18.888433,185,5564,LTU,,Q,106,548,,,27.704311,175,6-3 6-4,,2,0,12,7,0,0,TRUE,171163,0,72,6,7,53,25,22,17,10,0,1,0,5,52,29,21,10,9,3,6,1.37,3.09,5.3,6.17,3.76,1.96,2.62,1.55
171169,4108,236,5/03/2018,H,FALSE,R128,3,5630,ARG,,,67,800,,,27.4141,190,5978,USA,,,54,945,,,25.826147,183,6-2 4-6 7-5,,2,1,17,13,0,0,TRUE,171169,0,143,3,8,107,65,47,16,15,8,12,4,4,88,51,37,13,15,6,12,1.31,3.44,5.5,6.4,3.77,1.88,2.62,1.5
171168,4108,235,5/03/2018,H,FALSE,R128,3,6269,USA,,Q,231,228,,,24.142368,,5324,FRA,,,46,1075,,,28.824093,196,6-4 1-6 6-4,,2,1,13,14,0,0,TRUE,171168,0,115,1,2,82,47,32,15,13,2,6,15,13,92,47,38,16,14,5,9,1.56,2.44,4.08,5.18,3.8,2.27,2.37,1.6
171158,4108,215,5/03/2018,H,FALSE,R128,3,11549,USA,,,48,1038,,,21.40178,,5946,USA,,Q,200,276,,,25.943874,185,6-1 4-6 6-4,,2,1,16,11,0,0,TRUE,171158,0,127,5,5,90,48,37,23,14,1,2,0,3,83,57,38,12,13,2,5,1.24,4.02,6.73,7.5,3.86,1.68,3,1.47
