,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,177408,4259,289,2020-11-16,H,True,RR,3,4742,ESP,2.0,,2,9850,,,34.455853,185.0,25897,RUS,7.0,,8.0,3919.0,,,23.074606,188.0,6-3 6-4,,2,0,12,7,0,0,True,177408,0,77.0,2,0,54,39,32,10,10,0,0,9,1,58,36,28,9,9,3,5
11,166850,4000,281,2016-08-15,H,False,R32,3,5670,CAN,4.0,,6,4455,,,25.634497,196.0,4544,USA,,,22.0,1610.0,,,31.304586,206.0,7-6(5) 7-6(5),,2,0,12,12,2,0,True,166850,0,96.0,12,4,73,47,40,16,12,0,0,20,1,76,53,45,11,12,1,1
12,170211,4080,276,2017-10-16,H,True,R32,3,4659,UKR,,,102,534,,,31.775496,193.0,11549,USA,,,52.0,908.0,,,21.01848,,7-6(4) 6-4,,2,0,12,10,1,0,True,170211,0,88.0,8,2,67,41,34,17,11,1,1,5,2,64,31,25,22,11,3,4
13,167332,4010,284,2016-10-17,H,False,R32,3,4252,GER,,,55,823,,,33.03491,190.0,3990,ESP,,WC,484.0,75.0,,,34.464066,180.0,6-2 6-2,,2,0,12,4,0,0,True,167332,0,69.0,7,1,46,23,18,14,8,1,2,1,3,65,42,20,9,8,6,11
14,171148,4108,195,2018-03-05,H,False,R128,3,4533,ISR,,LL,97,595,,,32.91718,175.0,5367,GER,,,50.0,1016.0,,,28.637918,185.0,6-4 6-4,,2,0,12,8,0,0,True,171148,0,64.0,2,4,59,35,27,12,10,2,4,7,9,56,27,21,12,10,2,6
15,165151,3963,280,2016-02-22,H,False,R32,3,11176,KOR,,,66,735,,,19.761806,,4311,ITA,,,39.0,1050.0,,,32.00274,190.0,6-3 6-4,,2,0,12,7,0,0,True,165151,0,77.0,2,1,54,37,28,13,10,1,1,3,2,54,23,16,17,9,3,5
16,173294,4157,293,2018-11-12,H,True,RR,3,644,GER,3.0,,5,5085,,,21.563313,198.0,4544,USA,8.0,,10.0,3155.0,,,33.546886,206.0,7-6(5) 6-3,,2,0,12,9,1,0,True,173294,0,81.0,18,2,64,48,41,9,11,1,1,10,1,60,37,27,15,10,0,1
17,177471,4261,6002,2020-03-06,C,False,RR,3,23628,TUR,,,329,119,,,23.482546,,27127,ISR,,,562.0,45.0,,,22.748802,,7-5 1-6 6-4,,2,1,14,15,0,0,True,177471,0,129.0,3,5,93,61,39,14,15,7,12,3,2,100,66,39,17,14,7,12
18,173977,4176,238,2019-03-04,H,False,R64,3,4742,ESP,2.0,,2,8365,,,32.75017,185.0,11549,USA,,WC,192.0,270.0,,,22.398357,,6-1 6-1,,2,0,12,2,0,0,True,173977,0,72.0,6,3,37,20,17,11,7,0,0,3,2,57,27,17,9,7,1,6
19,163159,3915,1,2015-06-08,G,False,R32,3,4570,CYP,,,63,787,,,29.97399,183.0,4585,CZE,,,38.0,1115.0,,,29.87269,196.0,6-3 6-4,,2,0,12,7,0,0,True,163159,0,,10,11,66,35,31,11,10,3,5,2,4,58,31,19,12,9,3,7
