Equation,Objective,Age,Surface,Weighting,Theta
1,-1.705454545,6.333333333,0.791666667,0.725,
1,-1.698181818,12,0.518518519,0.407407407,
1,-1.694545455,9.45,0.75,0.25,
1,-1.690909091,12,0.7875,0.25,
1,-1.687272727,8.8,0.254861111,0.504166667,
1,-1.687272727,12,0.819444444,0.652777778,
2,-1.8545454545454545,6.300000000000001,0.25,0.75
2,-1.84,6.333333333333334,0.26388888888888884,0.2416666666666667
2,-1.8254545454545454,6.475205761316873,0.2537508573388203,0.49387860082304524
2,-1.8181818181818181,9.551722715192048,0.2558129209295457,0.753067799425583
2,-1.8072727272727274,12.0,0.2625,0.75
2,-1.8,9.566666666666666,0.255324074074074,0.47361111111111115
3,-1.8836363636363636,6.856094405876755,0.2521362621924841,0.4999737090436519,0.48491668701171875
3,-1.8581818181818182,10.097693682158445,0.25064638677820367,0.7179975643815327,0.5274810791015627
3,-1.8472727272727272,6.532750854492191,0.2669265747070311,0.7472259521484372,0.6660598754882807
3,-1.8363636363636364,10.104791666666667,0.24574942129629618,0.5002517361111112,0.490625
3,-1.8327272727272728,12.0,0.2625,0.75,0.525
3,-1.8254545454545454,10.913460249249228,0.27750974068023837,0.5687401773289393,0.25664879770483795
