match_id,match_num,date,surface,indoor,round,best_of,winner_id,loser_id,score,outcome,w_sets,l_sets,player_id,first_name,last_name,player_id,first_name,last_name
169236,284,26/06/2017,G,f,R32,3,5565,6196,6-3 6-4,,2,0,5565,Vasek,Pospisil,6196,Jiri,Vesely
169238,287,26/06/2017,G,f,R16,3,6057,4994,6-3 6-2,,2,0,6057,Bernard,Tomic,4994,Mischa,Zverev
168455,298,20/03/2017,H,f,SF,3,4742,4921,6-1 7-5,,2,0,4742,Rafael,Nadal,4921,Fabio,Fognini
169440,279,17/07/2017,C,f,R32,3,5403,4794,6-3 6-2,,2,0,5403,Andrej,Martin,4794,Denis,Istomin
169441,280,17/07/2017,C,f,R32,3,6030,4022,6-3 7-5,,2,0,6030,Nicolas,Kicker,4022,Mikhail,Youzhny
169442,282,17/07/2017,C,f,R32,3,6051,4467,6-1 3-6 6-1,,2,1,6051,Marco,Cecchinato,4467,Gilles,Simon
169735,280,14/08/2017,H,f,R32,3,5166,5016,6-2 7-6(4),,2,0,5166,Adrian,Mannarino,5016,Sam,Querrey
169736,281,14/08/2017,H,f,R32,3,6219,4921,6-3 6-2,,2,0,6219,Dominic,Thiem,4921,Fabio,Fognini
169500,287,24/07/2017,C,f,R16,3,4794,4459,6-3 6-1,,2,0,4794,Denis,Istomin,4459,Dustin,Brown
170338,289,23/10/2017,H,t,R16,3,5515,5070,6-7(5) 6-2 7-6(1),,2,1,5515,Jan Lennard,Struff,5070,Albert,Ramos
170339,290,23/10/2017,H,t,R16,3,4259,5718,7-6(4) 6-3,,2,0,4259,Philipp,Kohlschreiber,5718,Pierre Hugues,Herbert
169619,274,31/07/2017,H,f,R32,3,5763,6364,7-5 4-6 6-3,,2,1,5763,Grigor,Dimitrov,6364,Kyle,Edmund
170432,290,1/01/2018,H,f,R16,3,5231,4546,6-1 6-2,,2,0,5231,Alexandr,Dolgopolov,4546,Horacio,Zeballos
170433,291,1/01/2018,H,f,R16,3,6387,5044,6-7(3) 7-6(5) 6-2,,2,1,6387,Nick,Kyrgios,5044,Matthew,Ebden
170434,292,1/01/2018,H,f,R16,3,6364,11176,7-6(3) 5-7 6-4,,2,1,6364,Kyle,Edmund,11176,Hyeon,Chung
170039,275,25/09/2017,H,f,R32,3,4794,5515,6-3 7-6(3),,2,0,4794,Denis,Istomin,5515,Jan Lennard,Struff
171020,272,19/02/2018,C,f,R32,3,6030,3607,6-3 6-3,,2,0,6030,Nicolas,Kicker,3607,Victor,Estrella
171021,273,19/02/2018,C,f,R32,3,4269,4914,6-2 3-6 6-3,,2,1,4269,Fernando,Verdasco,4914,Leonardo,Mayer
171333,11802,6/04/2018,H,f,RR,3,6407,23949,6-1 6-2,,2,0,6407,Daniil,Medvedev,23949,Sebastian,Ofner
171335,12001,6/04/2018,C,f,RR,3,5986,5601,6-4 6-1,,2,0,5986,Damir,Dzumhur,5601,Norbert,Gombos
171336,12102,6/04/2018,C,f,RR,3,5364,5792,7-6(5) 6-1,,2,0,5364,Martin,Klizan,5792,Mirza,Basic
171100,290,26/02/2018,H,f,R16,3,6418,5324,6-1 6-4,,2,0,6418,Borna,Coric,5324,Benoit,Paire
171162,223,5/03/2018,H,f,R128,3,26577,5420,7-6(2) 6-2,,2,0,26577,Stefanos,Tsitsipas,5420,Radu,Albot
161655,10,4/01/2015,H,f,R32,3,6409,3898,6-4 6-3,,2,0,6409,Thanasi,Kokkinakis,3898,Julien,Benneteau
161752,22,11/01/2015,H,f,QF,3,4914,3898,6-3 7-6(4),,2,0,4914,Leonardo,Mayer,3898,Julien,Benneteau
161754,24,11/01/2015,H,f,QF,3,4677,4619,6-3 3-6 7-5,,2,1,4677,Viktor,Troicki,4619,Simone,Bolelli
161959,21,2/02/2015,C,f,QF,3,3852,5571,4-6 7-5 6-1,,2,1,3852,Feliciano,Lopez,5571,Dusan,Lajovic
162061,11,9/02/2015,C,f,R32,3,5476,5630,6-3 2-6 6-4,,2,1,5476,Facundo,Bagnis,5630,Federico,Delbonis
162062,12,9/02/2015,C,f,R32,3,4596,5629,7-6(3) 6-4,,2,0,4596,Nicolas,Almagro,5629,Blaz,Rola
162063,13,9/02/2015,C,f,R16,3,4562,5210,7-6(5) 3-6 6-3,,2,1,4562,Luca,Vanni,5210,Thiemo,De Bakker
162151,16,16/02/2015,C,f,R32,3,3970,4592,6-4 6-3,,2,0,3970,David,Ferrer,4592,Daniel,Gimeno Traver
162152,17,16/02/2015,C,f,R16,3,4742,5793,7-5 6-3,,2,0,4742,Rafael,Nadal,5793,Pablo,Carreno Busta
161656,11,4/01/2015,H,f,R32,3,6057,5016,7-5 7-6(5),,2,0,6057,Bernard,Tomic,5016,Sam,Querrey
161657,12,4/01/2015,H,f,R32,3,5438,4593,2-6 7-6(0) 7-5,,2,1,5438,Steve,Johnson,4593,Marinko,Matosevic
161658,13,4/01/2015,H,f,R16,3,3819,5349,4-6 6-4 6-3,,2,1,3819,Roger,Federer,5349,John,Millman
161659,14,4/01/2015,H,f,R16,3,5888,3813,4-6 7-6(5) 6-3,,2,1,5888,James,Duckworth,3813,Jarkko,Nieminen
161660,15,4/01/2015,H,f,R16,3,5763,4868,3-6 6-4 7-6(8),,2,1,5763,Grigor,Dimitrov,4868,Jeremy,Chardy
161661,16,4/01/2015,H,f,R16,3,5364,5231,1-6 7-6(6) 7-6(7),,2,1,5364,Martin,Klizan,5231,Alexandr,Dolgopolov
161662,17,4/01/2015,H,f,R16,3,5025,3997,6-4 6-7(2) 7-6(3),,2,1,5025,Samuel,Groth,3997,Lukasz,Kubot
161663,18,4/01/2015,H,f,R16,3,5670,5055,6-3 6-4,,2,0,5670,Milos,Raonic,5055,Mikhail,Kukushkin
161672,27,4/01/2015,H,f,F,3,3819,5670,6-4 6-7(2) 6-4,,2,1,3819,Roger,Federer,5670,Milos,Raonic
161673,1,5/01/2015,H,f,R32,3,6418,4894,6-2 6-2,,2,0,6418,Borna,Coric,4894,Robin,Haase
161675,3,5/01/2015,H,f,R32,3,4180,4273,6-7(11) 6-1 7-6(3),,2,1,4180,Gilles,Muller,4273,Edouard Roger,Vasselin
161676,4,5/01/2015,H,f,R32,3,5564,4562,6-1 2-6 7-5,,2,1,5564,Ricardas,Berankis,4562,Luca,Vanni
161685,13,5/01/2015,H,f,R16,3,4526,6418,6-1 6-4,,2,0,4526,Stan,Wawrinka,6418,Borna,Coric
161687,15,5/01/2015,H,f,R16,3,5663,5564,6-0 4-6 7-6(1),,2,1,5663,David,Goffin,5564,Ricardas,Berankis
161688,16,5/01/2015,H,f,R16,3,4887,6196,6-7(3) 6-4 6-4,,2,1,4887,Andreas,Haider Maurer,6196,Jiri,Vesely
161689,17,5/01/2015,H,f,R16,3,4229,5793,6-4 6-4,,2,0,4229,Yen Hsun,Lu,5793,Pablo,Carreno Busta
161693,21,5/01/2015,H,f,QF,3,4526,4180,6-2 7-6(4),,2,0,4526,Stan,Wawrinka,4180,Gilles,Muller
161694,22,5/01/2015,H,f,QF,3,5663,4887,7-5 6-2,,2,0,5663,David,Goffin,4887,Andreas,Haider Maurer
161695,23,5/01/2015,H,f,QF,3,5131,4229,7-6(7) 6-4,,2,0,5131,Roberto,Bautista Agut,4229,Yen Hsun,Lu
161696,24,5/01/2015,H,f,QF,3,5370,4198,2-6 6-3 6-2,,2,1,5370,Aljaz,Bedene,4198,Guillermo,Garcia Lopez
161697,25,5/01/2015,H,f,SF,3,4526,5663,7-5 6-3,,2,0,4526,Stan,Wawrinka,5663,David,Goffin
161698,26,5/01/2015,H,f,SF,3,5370,5131,3-6 6-3 7-6(8),,2,1,5370,Aljaz,Bedene,5131,Roberto,Bautista Agut
161699,27,5/01/2015,H,f,F,3,4526,5370,6-3 6-4,,2,0,4526,Stan,Wawrinka,5370,Aljaz,Bedene
161700,1,5/01/2015,H,f,R32,3,4920,5571,6-2 6-1,,2,0,4920,Novak,Djokovic,5571,Dusan,Lajovic
161702,3,5/01/2015,H,f,R32,3,5918,4022,7-5 6-2,,2,0,5918,Nikoloz,Basilashvili,4022,Mikhail,Youzhny
161703,4,5/01/2015,H,f,R32,3,3333,4585,7-6(4) 6-3,,2,0,3333,Ivo,Karlovic,4585,Lukas,Rosol
161717,18,5/01/2015,H,f,R16,3,3333,5918,7-6(3) 6-3,,2,0,3333,Ivo,Karlovic,5918,Nikoloz,Basilashvili
161718,19,5/01/2015,H,f,R16,3,3970,4269,6-3 6-2,,2,0,3970,David,Ferrer,4269,Fernando,Verdasco
161719,20,5/01/2015,H,f,R16,3,4459,5515,7-6(9) 6-4,,2,0,4459,Dustin,Brown,5515,Jan Lennard,Struff
161720,21,5/01/2015,H,f,R16,3,4752,4619,6-3 6-2,,2,0,4752,Richard,Gasquet,4619,Simone,Bolelli
161721,22,5/01/2015,H,f,R16,3,4606,4879,6-1 6-2,,2,0,4606,Tomas,Berdych,4879,Blaz,Kavcic
161722,23,5/01/2015,H,f,R16,3,4311,5147,7-5 6-2,,2,0,4311,Andreas,Seppi,5147,Joao,Souza
161723,24,5/01/2015,H,f,R16,3,4470,3582,7-6(1) 6-2,,2,0,4470,Ivan,Dodig,3582,Michael,Berrer
161724,25,5/01/2015,H,f,QF,3,3333,4920,6-7(2) 7-6(6) 6-4,,2,1,3333,Ivo,Karlovic,4920,Novak,Djokovic
161725,26,5/01/2015,H,f,QF,3,3970,4459,6-2 6-2,,2,0,3970,David,Ferrer,4459,Dustin,Brown
161726,27,5/01/2015,H,f,QF,3,4606,4752,6-2 6-1,,2,0,4606,Tomas,Berdych,4752,Richard,Gasquet
161727,28,5/01/2015,H,f,QF,3,4311,4470,7-5 6-4,,2,0,4311,Andreas,Seppi,4470,Ivan,Dodig
161735,5,11/01/2015,H,f,R32,3,5655,6387,6-1 6-7(6) 7-6(5),,2,1,5655,Jerzy,Janowicz,6387,Nick,Kyrgios
161736,6,11/01/2015,H,f,R32,3,4914,3794,7-6(3) 6-2,,2,0,4914,Leonardo,Mayer,3794,Benjamin,Becker
161737,7,11/01/2015,H,f,R32,3,4868,5016,6-4 6-4,,2,0,4868,Jeremy,Chardy,5016,Sam,Querrey
161738,8,11/01/2015,H,f,R32,3,4180,5025,3-6 6-3 7-6(6),,2,1,4180,Gilles,Muller,5025,Samuel,Groth
161739,9,11/01/2015,H,f,R32,3,6057,4992,6-1 6-2,,2,0,6057,Bernard,Tomic,4992,Igor,Sijsling
161740,10,11/01/2015,H,f,R32,3,4677,5364,6-2 6-3,,2,0,4677,Viktor,Troicki,5364,Martin,Klizan
161741,11,11/01/2015,H,f,R32,3,4664,3813,6-2 6-2,,2,0,4664,Pablo,Andujar,3813,Jarkko,Nieminen
162551,70,25/03/2015,H,f,R32,3,5663,5655,6-4 6-3,,2,0,5663,David,Goffin,5655,Jerzy,Janowicz
161755,25,11/01/2015,H,f,SF,3,5055,4914,6-4 6-4,,2,0,5055,Mikhail,Kukushkin,4914,Leonardo,Mayer
161756,26,11/01/2015,H,f,SF,3,4677,4180,6-2 6-4,,2,0,4677,Viktor,Troicki,4180,Gilles,Muller
161757,27,11/01/2015,H,f,F,3,4677,5055,6-2 6-3,,2,0,4677,Viktor,Troicki,5055,Mikhail,Kukushkin
161759,2,12/01/2015,H,f,R32,3,5070,3893,6-4 6-3,,2,0,5070,Albert,Ramos,3893,Paolo,Lorenzi
161760,3,12/01/2015,H,f,R32,3,4229,4337,6-4 2-6 6-1,,2,1,4229,Yen Hsun,Lu,4337,Juan,Monaco
161761,4,12/01/2015,H,f,R32,3,5166,5630,6-1 6-1,,2,0,5166,Adrian,Mannarino,5630,Federico,Delbonis
161763,6,12/01/2015,H,f,R32,3,4927,5046,6-2 6-3,,2,0,4927,Kenny,De Schepper,5046,Santiago,Giraldo
161764,7,12/01/2015,H,f,R32,3,5438,5303,7-5 6-4,,2,0,5438,Steve,Johnson,5303,Joao,Sousa
171975,290,11/06/2018,G,f,R16,3,5644,5209,7-5 4-6 6-4,,2,1,5644,Marius,Copil,5209,Yuichi,Sugita
161912,1,2/02/2015,H,f,R32,3,4927,4942,6-4 3-6 6-3,,2,1,4927,Kenny,De Schepper,4942,Marsel,Ilhan
161913,2,2/02/2015,H,f,R32,3,4326,5140,6-2 6-2,,2,0,4326,Steve,Darcis,5140,Tatsuma,Ito
161914,3,2/02/2015,H,f,R32,3,3813,5515,7-6(5) 6-3,,2,0,3813,Jarkko,Nieminen,5515,Jan Lennard,Struff
161927,16,2/02/2015,H,f,R16,3,4794,4533,7-6(1) 6-2,,2,0,4794,Denis,Istomin,4533,Dudi,Sela
161928,17,2/02/2015,H,f,R16,3,5303,4732,4-6 6-4 6-3,,2,1,5303,Joao,Sousa,4732,Tobias,Kamke
161929,18,2/02/2015,H,f,R16,3,4259,3908,3-6 7-6(5) 6-4,,2,1,4259,Philipp,Kohlschreiber,3908,Paul Henri,Mathieu
161930,19,2/02/2015,H,f,R16,3,5655,5324,6-2 3-6 6-3,,2,1,5655,Jerzy,Janowicz,5324,Benoit,Paire
161931,20,2/02/2015,H,f,R16,3,4467,4273,6-3 6-3,,2,0,4467,Gilles,Simon,4273,Edouard Roger,Vasselin
